iter	Passed	Remaining
0	61	61054
1	61	30695
2	61	20567
3	62	15499
4	62	12456
5	62	10430
6	63	8979
7	63	7891
8	63	7044
9	64	6370
10	64	5816
11	65	5355
12	65	4964
13	65	4629
14	66	4337
15	66	4082
16	66	3859
17	67	3659
18	67	3480
19	67	3320
20	68	3173
21	68	3042
22	68	2921
23	69	2810
24	69	2709
25	69	2615
26	70	2528
27	70	2446
28	70	2372
29	71	2302
30	71	2236
31	71	2174
32	72	2115
33	72	2061
34	72	2010
35	73	1962
36	73	1917
37	74	1874
38	74	1831
39	74	1794
40	75	1756
41	75	1721
42	75	1686
43	76	1653
44	76	1622
45	76	1592
46	77	1564
47	77	1536
48	77	1510
49	78	1485
50	78	1460
51	78	1437
52	79	1415
53	79	1393
54	79	1372
55	80	1352
56	80	1332
57	80	1314
58	81	1295
59	81	1277
60	81	1260
61	82	1243
62	82	1228
63	82	1212
64	83	1197
65	83	1182
66	83	1168
67	84	1151
68	84	1138
69	84	1125
70	85	1112
71	85	1100
72	85	1088
73	86	1076
74	86	1066
75	86	1055
76	87	1045
77	87	1035
78	87	1025
79	88	1015
80	88	1005
81	88	996
82	89	986
83	89	977
84	89	966
85	90	958
86	90	947
87	90	939
88	90	931
89	91	923
90	91	915
91	91	907
92	92	900
93	92	893
94	93	886
95	93	878
96	93	871
97	93	864
98	94	857
99	94	851
100	95	845
101	95	837
102	95	831
103	95	825
104	96	819
105	96	813
106	96	807
107	97	802
108	97	796
109	97	791
110	98	785
111	98	780
112	98	775
113	99	770
114	99	765
115	99	760
116	100	755
117	100	751
118	100	745
119	101	740
120	101	736
121	101	732
122	101	726
123	102	722
124	102	717
125	102	713
126	103	709
127	103	704
128	103	700
129	104	696
130	104	692
131	104	688
132	105	684
133	105	680
134	105	677
135	106	673
136	106	670
137	106	666
138	106	662
139	107	658
140	107	655
141	107	651
142	108	648
143	108	644
144	108	641
145	109	638
146	109	635
147	109	632
148	110	629
149	110	626
150	110	623
151	111	620
152	111	617
153	111	614
154	112	611
155	112	608
156	112	605
157	113	602
158	113	600
159	113	597
160	114	594
161	114	591
162	114	589
163	115	586
164	115	584
165	115	581
166	116	578
167	116	576
168	116	574
169	117	571
170	117	569
171	117	566
172	118	564
173	118	561
174	118	559
175	119	557
176	119	554
177	119	552
178	120	550
179	120	548
180	120	545
181	120	543
182	121	540
183	121	538
184	121	536
185	122	534
186	122	532
187	122	530
188	123	528
189	123	526
190	123	524
191	124	522
192	124	520
193	124	518
194	125	516
195	125	514
196	125	512
197	126	511
198	126	509
199	126	507
200	127	505
201	127	503
202	127	501
203	128	500
204	128	498
205	128	496
206	129	494
207	129	493
208	129	491
209	130	489
210	130	487
211	130	486
212	131	484
213	131	482
214	131	480
215	132	479
216	132	477
217	132	475
218	132	474
219	133	472
220	133	471
221	133	469
222	134	468
223	134	466
224	135	465
225	135	463
226	135	462
227	136	460
228	136	459
229	136	457
230	137	456
231	137	454
232	137	453
233	138	451
234	138	450
235	138	448
236	138	447
237	139	445
238	139	444
239	139	443
240	140	441
241	140	440
242	140	438
243	141	437
244	141	436
245	141	434
246	142	433
247	142	432
248	142	430
249	143	429
250	143	428
251	143	426
252	144	425
253	144	424
254	144	422
255	145	421
256	145	420
257	145	418
258	145	417
259	146	416
260	146	415
261	146	413
262	147	412
263	147	411
264	148	410
265	148	409
266	148	408
267	148	406
268	149	405
269	149	404
270	149	403
271	150	402
272	150	400
273	150	399
274	151	398
275	151	397
276	151	396
277	152	395
278	152	394
279	152	392
280	153	391
281	153	390
282	153	389
283	154	388
284	154	387
285	154	386
286	155	385
287	155	384
288	155	383
289	156	382
290	156	381
291	156	380
292	157	378
293	157	377
294	157	376
295	157	375
296	158	374
297	158	373
298	158	372
299	159	371
300	159	370
301	159	369
302	160	368
303	160	367
304	160	366
305	161	365
306	161	364
307	161	363
308	162	362
309	162	361
310	162	360
311	163	359
312	163	358
313	163	358
314	164	357
315	164	356
316	164	355
317	165	354
318	165	353
319	165	352
320	166	351
321	166	350
322	166	349
323	167	348
324	167	347
325	167	346
326	168	345
327	168	345
328	168	344
329	169	343
330	169	342
331	169	341
332	170	340
333	170	339
334	170	338
335	171	338
336	171	337
337	171	336
338	172	335
339	172	334
340	172	333
341	173	333
342	173	332
343	173	331
344	174	330
345	174	329
346	174	328
347	175	327
348	175	327
349	175	326
350	175	325
351	176	324
352	176	323
353	176	322
354	177	321
355	177	321
356	177	320
357	178	319
358	178	318
359	178	318
360	179	317
361	179	316
362	179	315
363	180	314
364	180	313
365	180	313
366	181	312
367	181	311
368	181	310
369	182	310
370	182	309
371	182	308
372	183	307
373	183	306
374	183	306
375	184	305
376	184	304
377	184	303
378	185	303
379	185	302
380	185	301
381	186	301
382	186	300
383	186	299
384	187	298
385	187	298
386	187	297
387	188	296
388	188	296
389	188	295
390	189	294
391	189	293
392	189	293
393	190	292
394	190	291
395	190	290
396	191	290
397	191	289
398	191	288
399	192	288
400	192	287
401	192	286
402	193	286
403	193	285
404	193	284
405	194	284
406	194	283
407	194	282
408	195	282
409	195	281
410	195	280
411	196	279
412	196	279
413	196	278
414	197	277
415	197	277
416	197	276
417	198	275
418	198	275
419	198	274
420	199	273
421	199	273
422	199	272
423	200	271
424	200	271
425	200	270
426	200	269
427	201	269
428	201	268
429	201	267
430	202	267
431	202	266
432	202	265
433	203	265
434	203	264
435	204	263
436	204	263
437	204	262
438	205	261
439	205	261
440	205	260
441	206	260
442	206	259
443	206	258
444	207	258
445	207	257
446	207	256
447	207	256
448	208	255
449	208	255
450	209	254
451	209	253
452	209	253
453	209	252
454	210	251
455	210	251
456	211	250
457	211	250
458	211	249
459	212	248
460	212	248
461	212	247
462	212	247
463	213	246
464	213	245
465	213	245
466	214	244
467	214	243
468	214	243
469	215	242
470	215	242
471	215	241
472	216	240
473	216	240
474	216	239
475	217	239
476	217	238
477	217	237
478	218	237
479	218	236
480	218	236
481	219	235
482	219	234
483	219	234
484	220	233
485	220	233
486	220	232
487	221	232
488	221	231
489	221	230
490	222	230
491	222	229
492	222	229
493	223	228
494	223	227
495	223	227
496	223	226
497	224	226
498	224	225
499	224	224
500	225	224
501	225	223
502	226	223
503	226	222
504	226	222
505	227	221
506	227	221
507	227	220
508	228	219
509	228	219
510	228	218
511	229	218
512	229	217
513	229	217
514	230	216
515	230	216
516	230	215
517	231	214
